Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
52,W7CEU,224.5,-,1.6,Tone,88.5,88.5,23,23,NN,FM,5,"Carbon | OPEN | College of Eastern Utah ARC | UVHFS | 2008-11-25
    Please help us confirm this repeater!",98.6
53,K7GX,448.3,-,5,,88.5,88.5,23,23,NN,FM,5,"Carbon | OPEN | UVHFS | 2013-08-05
    Please help us confirm this repeater!",98.6
54,K7GX,147.2,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Carbon | OPEN | UVHFS | 2017-09-03,98.6
55,KD5LWU,146.79,-,0.6,TSQL,127.3,127.3,23,23,NN,FM,5,Montezuma | OPEN | On-Air | KD5LWU | CCARC | 2015-04-30,99.6
56,KD5LWU,449.175,-,5,Tone,127.3,88.5,23,23,NN,FM,5,"Montezuma | OPEN | Off-Air | KD5LWU | CCARC | 2014-06-30
    Please help us confirm this repeater!",99.6
57,WA4HND,449.8,-,5,Tone,107.2,88.5,23,23,NN,FM,5,Garfield | OPEN | On-Air | CCARC | 2018-01-15,100.8
58,WA4HND,447.2,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,Montrose | OPEN | On-Air | CCARC | 2018-01-15,102.3
59,KB0YNA,448.65,-,5,TSQL,88.5,151.4,23,23,NN,FM,5,Montrose | OPEN | On-Air | KB0YNA | 2016-10-11,102.3
60,KI0MR,147.33,+,0.6,Tone,107.2,88.5,23,23,NN,FM,5,Delta | OPEN | On-Air | North Fork Repeater Assoc. | CCARC | 2016-05-16,107.5
61,KB5ITS,147.27,+,0.6,Tone,127.3,88.5,23,23,NN,FM,5,Ouray | OPEN | On-Air | CCARC | 2018-01-15,108.7
62,N5UBJ,446.7375,-,5,,88.5,88.5,23,23,NN,DIG,5,Montezuma | OPEN | On-Air | RMHAM | CCARC | 2017-03-17,109.2
63,KB5ITS,145.325,-,0.6,Tone,100,88.5,23,23,NN,FM,5,Montezuma | OPEN | On-Air | CCARC | 2018-01-15,111.6
64,K7SDC,145.31,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Carbon | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2017-09-03,112.4
65,KB5ITS,442.375,+,5,Tone,100,88.5,23,23,NN,FM,5,Montezuma | OPEN | On-Air | San Juan Connection | 2017-11-30,113.3
66,N0SWE,146.76,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,"Garfield | OPEN | Off-Air | N0SWE, Roaring Fork Amateur Repeater Cooperative | CCARC | 2015-06-03",113.9
67,WB7REL,146.72,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"San Pete | OPEN | On-Air | W7REL and Sanpete County | UVHFS | 2014-01-20
    Please help us confirm this repeater!",115
68,W7DHH,146.66,-,0.6,Tone,100,88.5,23,23,NN,FM,5,San Pete | OPEN | On-Air | Skyline Repeater System | UVHFS | 2017-11-12,115
69,N7IMF,224.64,-,1.6,,88.5,88.5,23,23,NN,FM,5,"San Pete | OPEN | UVHFS | unverified.
  
   Please help us confirm this repeater!",115
70,KB5ITS,145.325,-,0.6,Tone,127.3,88.5,23,23,NN,FM,5,San Juan | OPEN | On-Air | CCARC | 2018-01-15,115.1
71,KB5ITS,444,+,5,Tone,67,88.5,23,23,NN,FM,5,Huerfano | OPEN | On-Air | 2017-12-07,115.1
72,KB5ITS,447.525,-,5,Tone,127.3,88.5,23,23,NN,FM,5,"San Juan | OPEN | On-Air | KB5ITS | CCARC | 2014-06-30
    Please help us confirm this repeater!",115.1
73,K7SDC,147.08,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Carbon | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2017-09-03,115.3
74,K0EP,146.67,-,0.6,Tone,100,88.5,23,23,NN,FM,5,La Plata | OPEN | On-Air | Durango ARC | CCARC | 2017-11-30,115.8
75,WX7Y,224.98,-,1.6,Tone,88.5,88.5,23,23,NN,FM,5,"Carbon | OPEN | Intermountain Repeater Emergency Amateur Network, Sinbad Desert ARC | UVHFS | 2013-08-05
    Please help us confirm this repeater!",115.8
76,KB5ITS,147.375,+,0.6,Tone,156.7,88.5,23,23,NN,FM,5,San Juan | OPEN | On-Air | CCARC | 2018-01-15,117.4
77,KB0VIU,145.37,-,0.6,TSQL,100,100,23,23,NN,FM,5,La Plata | OPEN | On-Air | CCARC | 2018-01-15,120.9
78,K0EP,146.7,-,0.6,TSQL,100,100,23,23,NN,FM,5,La Plata | OPEN | On-Air | Durango ARC | CCARC | 2018-01-16,126.8
79,N0SZ,445.1375,-,5,,88.5,88.5,23,23,NN,DIG,5,La Plata | OPEN | On-Air | K2AD | CCARC | 2018-02-01,127.2
80,KB5ITS,147.135,+,0.6,TSQL,100,100,23,23,NN,FM,5,La Plata | OPEN | On-Air | CCARC | 2018-01-15,127.4
81,KC5EVE,448.625,-,5,TSQL,131.8,131.8,23,23,NN,FM,5,La Plata | OPEN | KC5EVE | CCARC | 2016-01-12,127.8
82,K0EP,449.85,-,5,TSQL,100,100,23,23,NN,FM,5,"La Plata | OPEN | On-Air | DARC | CCARC | 2014-06-04
    Please help us confirm this repeater!",127.8
83,KB0VJJ,147.345,+,0.6,TSQL,88.5,123,23,23,NN,FM,5,La Plata | OPEN | On-Air | Colorado Connection | CCARC | 2016-06-20,128.7
