Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
0,WB0TPT,447.9,-,5,,88.5,88.5,23,23,NN,FM,5,Denver | OPEN | Off-Air | WB0TPT | CCARC | 2017-03-11,0.5
1,WR0AEN,449.675,-,5,,88.5,88.5,23,23,NN,DIG,5,"Denver | OPEN | On-Air | Colorado Amateur Repeater Network (CARN) | CCARC | 2012-11-16
    Please help us confirm this repeater!",0.5
2,K0FEZ,447.925,-,5,TSQL,100,100,23,23,NN,FM,5,"Denver | OPEN | On-Air | RADOPS El Jebel Shriners | CCARC | 2014-07-03
    Please help us confirm this repeater!",0.5
3,WR0AEN,449.65,-,5,,88.5,88.5,23,23,NN,DIG,5,"Denver | OPEN | On-Air | Colorado Amateur Repeater Network (CARN) | CCARC | 2012-11-16
    Please help us confirm this repeater!",0.5
4,N5EHP,448.075,-,5,Tone,123,88.5,23,23,NN,FM,5,Denver | OPEN | On-Air | W0IG | CCARC | 2017-03-11,0.6
5,KE0SJ,145.475,-,0.6,Tone,100,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Intermountain Repeater Group | CCARC | 2015-05-22,0.6
6,W0KIZ,448.55,-,5,Tone,82.5,88.5,23,23,NN,FM,5,Denver | OPEN | Off-Air | HPRA | CCARC | 2017-03-11,0.6
7,N0JXN,146.715,-,0.6,TSQL,123,123,23,23,NN,FM,5,Denver | OPEN | On-Air | EARS | CCARC | 2017-04-09,0.6
8,W0JRL,447.175,-,5,TSQL,100,100,23,23,NN,FM,5,Denver | OPEN | On-Air | W0JRL | CCARC | 2015-05-15,1.7
9,KD0SSP,147.21,+,0.6,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Water Amateur Radio Club | 2017-05-08,7.6
10,N0ELY,448.75,-,5,TSQL,100,100,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | CCARC | 2012-11-16
    Please help us confirm this repeater!",7.7
11,N1UPS,449.3,-,5,Tone,100,88.5,23,23,NN,FM,5,Adams | OPEN | On-Air | N1UPS | CCARC | 2017-04-24,7.8
12,W0TX,447.825,-,5,DTCS,88.5,88.5,73,73,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-03-11,7.9
13,W0BG,448.275,-,5,Tone,156.7,88.5,23,23,NN,FM,5,"Arapahoe | OPEN | On-Air | W0BG | CCARC | 2013-01-05
    Please help us confirm this repeater!",8
14,N0ZUQ,448.4,-,5,Tone,94.8,88.5,23,23,NN,FM,5,"Arapahoe | OPEN | On-Air | CCARC | 2012-11-12
    Please help us confirm this repeater!",8
