Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
0,K0FEZ,447.925,-,5,TSQL,100,100,23,23,NN,FM,5,"Denver | OPEN | On-Air | RADOPS El Jebel Shriners | CCARC | 2014-07-03
    Please help us confirm this repeater!",0.3
1,KE0SJ,145.475,-,0.6,Tone,100,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Intermountain Repeater Group | CCARC | 2015-05-22,0.3
2,WR0AEN,449.65,-,5,,88.5,88.5,23,23,NN,DIG,5,"Denver | OPEN | On-Air | Colorado Amateur Repeater Network (CARN) | CCARC | 2012-11-16
    Please help us confirm this repeater!",0.3
3,WB0TPT,447.9,-,5,,88.5,88.5,23,23,NN,FM,5,Denver | OPEN | Off-Air | WB0TPT | CCARC | 2017-03-11,0.3
4,WR0AEN,449.675,-,5,,88.5,88.5,23,23,NN,DIG,5,"Denver | OPEN | On-Air | Colorado Amateur Repeater Network (CARN) | CCARC | 2012-11-16
    Please help us confirm this repeater!",0.3
5,W0KIZ,448.55,-,5,Tone,82.5,88.5,23,23,NN,FM,5,Denver | OPEN | Off-Air | HPRA | CCARC | 2017-03-11,0.3
6,N5EHP,448.075,-,5,Tone,123,88.5,23,23,NN,FM,5,Denver | OPEN | On-Air | W0IG | CCARC | 2017-03-11,0.3
7,N0JXN,146.715,-,0.6,TSQL,123,123,23,23,NN,FM,5,Denver | OPEN | On-Air | EARS | CCARC | 2017-04-09,0.3
8,W0JRL,447.175,-,5,TSQL,100,100,23,23,NN,FM,5,Denver | OPEN | On-Air | W0JRL | CCARC | 2015-05-15,1.1
9,KD0SSP,147.21,+,0.6,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Water Amateur Radio Club | 2017-05-08,7.1
10,N1UPS,449.3,-,5,Tone,100,88.5,23,23,NN,FM,5,Adams | OPEN | On-Air | N1UPS | CCARC | 2017-04-24,7.2
11,N0ELY,448.75,-,5,TSQL,100,100,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | CCARC | 2012-11-16
    Please help us confirm this repeater!",7.4
12,W0TX,447.825,-,5,DTCS,88.5,88.5,73,73,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-03-11,7.6
13,W0BG,448.275,-,5,Tone,156.7,88.5,23,23,NN,FM,5,"Arapahoe | OPEN | On-Air | W0BG | CCARC | 2013-01-05
    Please help us confirm this repeater!",8.4
14,N0ZUQ,448.4,-,5,Tone,94.8,88.5,23,23,NN,FM,5,"Arapahoe | OPEN | On-Air | CCARC | 2012-11-12
    Please help us confirm this repeater!",8.4
15,WN7ANT,448.825,-,5,,88.5,88.5,23,23,NN,FM,5,Arapahoe | OPEN | On-Air | 2017-12-13,8.4
16,KB0UDD,448.5,-,5,Tone,100,88.5,23,23,NN,FM,5,Denver | OPEN | On-Air | Castle Rock Repeater Group | CCARC | 2017-03-11,8.5
17,W0TX,449.775,-,5,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2015-06-02,9
18,W0TX,224.38,-,1.6,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-03-11,9
19,W0TX,147.33,+,0.6,Tone,100,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-03-31,9
20,WR0AEN,449.15,-,5,,88.5,88.5,23,23,NN,DIG,5,"Arapahoe | OPEN | On-Air | Colorado Amateur Repeater Network (CARN) | CCARC | 2012-11-12
    Please help us confirm this repeater!",10
21,K0ML,147.045,+,0.6,Tone,123,88.5,23,23,NN,FM,5,Adams | OPEN | On-Air | Northglenn RA | CCARC | 2017-04-10,10.1
22,W0TX,53.09,-,1.7,Tone,107.2,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-03-11,10.3
23,N0PYY,927.7875,-,25,Tone,156.7,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | N0PYY | 2017-12-24,12.3
24,W0GV,448.975,-,5,Tone,123,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | FRG | CCARC | 2016-08-12,12.3
25,N0PYY,448.125,-,5,Tone,107.2,88.5,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | Denver PD EEB | CCARC | 2014-04-28
    Please help us confirm this repeater!",12.3
26,KB0VGD,446.975,-,5,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | W0DMR | 2016-01-25,12.4
27,AB0BX,447.225,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,Douglas | OPEN | Off-Air | CCARC | 2016-11-26,12.7
28,N6LXX,447.875,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,Jefferson | OPEN | On-Air | N6LXX | CCARC | 2017-03-09,12.9
29,W0CDS,145.25,-,0.6,,88.5,88.5,23,23,NN,DIG,5,"Jefferson | OPEN | On-Air | Colorado D-Star | CCARC | 2014-01-03
    Please help us confirm this repeater!",12.9
30,N6LXX,53.17,-,1.7,Tone,107.2,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | N6LXX | CCARC | 2017-03-09,12.9
31,W0CDS,446.9625,-,5,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | Colorado D-Star | CCARC | 2017-03-11,12.9
32,W0CDS,1283.9625,-,20,,88.5,88.5,23,23,NN,DIG,5,"Jefferson | OPEN | On-Air | Colorado D-Star | CCARC | 2014-01-03
    Please help us confirm this repeater!",12.9
33,W0CDS,1299.9,,0,,88.5,88.5,23,23,NN,DIG,5,"Jefferson | OPEN | On-Air | Colorado D-Star | 2014-01-03
    Please help us confirm this repeater!",12.9
34,WA2YZT,446.8375,-,5,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | WA2YZT | CCARC | 2017-02-23,12.9
35,N0SZ,145.37,-,0.6,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | Rocky Mountain Ham Radio | CCARC | 2017-03-11,12.9
36,W0KU,449.625,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mountain Ham Radio | CCARC | 2017-03-11,13.2
37,K0GUR,448.15,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,Denver | OPEN | On-Air | K0GUR | CCARC | 2017-01-13,13.5
38,W0WYX,449.825,-,5,Tone,103.5,88.5,23,23,NN,FM,5,"Boulder | OPEN | On-Air | Rocky Mountain Radio League | CCARC | 2012-11-16
    Please help us confirm this repeater!",13.5
39,W0LMA,448.925,-,5,Tone,131.8,88.5,23,23,NN,FM,5,"Boulder | OPEN | On-Air | W0LMA | CCARC | 2012-11-10
    Please help us confirm this repeater!",13.5
40,N0OBA,145.19,-,0.6,TSQL,151.4,131.8,23,23,NN,FM,5,Arapahoe | OPEN | On-Air | N0OBA | 2018-02-01,14.5
41,K0PWO,449.425,-,5,DTCS,88.5,88.5,23,23,NN,FM,5,Arapahoe | OPEN | Off-Air | K0PWO | 2017-05-28,16.1
42,KB0UDD,145.4,-,0.8,Tone,100,88.5,23,23,NN,FM,5,Arapahoe | OPEN | On-Air | Castle Rock Repeater Group | CCARC | 2015-07-30,16.1
43,WQ8M,448.7,-,5,Tone,146.2,88.5,23,23,NN,FM,5,Douglas | OPEN | On-Air | 2016-11-25,16.3
44,WB0TUB,449.6,-,5,Tone,100,88.5,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | Denver Radio League | CCARC | 2014-03-04
    Please help us confirm this repeater!",17.8
45,WB0TUB,146.88,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | Denver Radio League | CCARC | 2014-03-04
    Please help us confirm this repeater!",17.8
46,KI0GO,449.75,-,5,TSQL,103.5,103.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mtn Radio League | CCARC | 2016-12-23,18.1
47,WT0C,145.22,-,0.6,TSQL,103.5,103.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mtn Radio League | CCARC | 2016-12-23,18.1
48,N0POH,224.74,-,1.6,TSQL,88.5,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Aurora Repeater Assoc | CCARC | 2016-01-17,18.1
49,N0MHU,224,-,1.6,TSQL,103.5,103.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mountain Radio League | CCARC | 2017-03-11,18.2
50,K0IBM,448.85,-,5,TSQL,88.5,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Aurora Repeater Assoc | CCARC | 2016-01-17,18.2
51,W0CBI,147.15,+,0.6,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Aurora Repeater Assoc (ARA) | CCARC | 2016-01-17,18.2
52,N0ESQ,447.525,-,5,TSQL,203.5,146.2,23,23,NN,FM,5,Douglas | OPEN | On-Air | EmComm Colorado | CCARC | 2017-03-11,18.8
