Location,Name  ,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
42      ,KC7SNO,146.775  ,-     ,0.6   ,Tone,114.8    ,88.5     ,23      ,NN          ,FM  ,5    ,"Cheyenne, Denver Hill"
43      ,ND0Q  ,146.79   ,-     ,0.6   ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Pueblo, Baculite Mesa"
44      ,NX0G  ,146.82   ,-     ,0.6   ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,Woodland Park
45      ,W0UPS ,146.85   ,-     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Greeley, UNC"
46      ,W0RSH ,146.85   ,-     ,0.6   ,Tone,103.5    ,88.5     ,23      ,NN          ,FM  ,5    ,Colorado Springs
47      ,WB0TUB,146.88   ,-     ,0.6   ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Centennial, Warren Mountain"
48      ,AB0PC ,146.895  ,-     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Bailey, Dick Mountain"
49      ,K0IRP ,146.91   ,-     ,0.6   ,TSQL,151.4    ,151.4    ,23      ,NN          ,FM  ,5    ,Colorado Springs
50      ,W0WYX ,146.94   ,-     ,0.6   ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
51      ,KB0SRJ,146.97   ,-     ,0.6   ,TSQL,100      ,123      ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Pikes Peak"
52      ,K0FEZ ,146.985  ,-     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Golden, Centennial Cone"
53      ,KC0KWD,147      ,+     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,Greeley
54      ,NX0G  ,147.015  ,+     ,0.6   ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,Cripple Creek
55      ,K0ML  ,147.045  ,+     ,0.6   ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,Northglenn
56      ,KE0AE ,147.06   ,+     ,0.6   ,Tone,103.5    ,88.5     ,23      ,NN          ,FM  ,5    ,Genoa
57      ,KB0VJJ,147.075  ,+     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,"Kremmling, Santoy Peak"
58      ,KC7SNO,147.105  ,+     ,0.6   ,Tone,114.8    ,88.5     ,23      ,NN          ,FM  ,5    ,"Cheyenne, North Park"
59      ,N0ARA ,147.12   ,+     ,0.6   ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Critchell, Critchell Mountain"
60      ,W0VTL ,147.12   ,+     ,0.6   ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Gunnison
61      ,W0CBI ,147.15   ,+     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Golden, Guy Hill"
62      ,W0LRA ,147.195  ,+     ,0.6   ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Loveland, Namaqua Hill"
63      ,KD0H  ,147.21   ,+     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,Steamboat Springs
64      ,W0CRA ,147.225  ,+     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Larkspur, Westcreek"
65      ,N0ZSN ,147.24   ,+     ,0.6   ,TSQL,156.7    ,156.7    ,23      ,NN          ,FM  ,5    ,"Leadville, Quail Mountain"
66      ,W0ENO ,147.27   ,+     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,Longmont
67      ,      ,147.27   ,+     ,0.6   ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Colorado Springs
68      ,KB0VJJ,147.285  ,+     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,"Salida, Methodist Mountain"
69      ,N0PYY ,147.3    ,+     ,0.6   ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Evergreen, Squaw Mountain"
70      ,W0TX  ,147.33   ,+     ,0.6   ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Lakewood, Green Mountain"
71      ,KC0CVU,147.345  ,+     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
72      ,KB0VJJ,147.345  ,+     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,Vail
73      ,W0QEY ,147.36   ,+     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, CSU Durward Hall"
74      ,KC0CVU,147.36   ,+     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Lake George, Badger Mountain"
75      ,W0MOG ,147.39   ,+     ,0.6   ,Tone,103.5    ,88.5     ,23      ,NN          ,FM  ,5    ,Colorado Springs
76      ,KB0VJJ,147.39   ,+     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,"Breckenridge, Bald Mountain"
