Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Last update,Downlink Tone,Coverage,AllStar,Sponsor,Notes,Coordination,Grid,Affiliate,Links,Web links,Features,EchoLink,IRLP,Nets,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,On-air,Location Photo,Feed,Denver Regional,Mixed-Mode,Commands,YSF Digital Enabled,DG-ID,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA
447.1,-5,77,N0KM,Center,CO,OPEN,,13.9,E,yes,447.1,442.1,77,Saguache,On-Air,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,14.3,E,yes,146.64,146.04,77,Rio Grande,On-Air,yes,77,Low level local coverage,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,33.4,WNW,yes,146.925,146.325,,Mineral,Off-Air,yes,,,,Creede ARC,WA0JS license expired,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,39.1,WNW,yes,449.525,444.525,100,Mineral,On-Air,yes,100,,43265,N0PKT,,,DM67lt,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,53,SW,yes,146.61,146.01,123,Archuleta,On-Air,yes,,,,,,CCARC,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,54.6,SSW,yes,147.08,147.68,162.2,Rio Arriba,On-Air,yes,,,,SFARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,56.2,NNE,yes,449.975,444.975,100,Chaffee,On-Air,yes,100,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,28368,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,CCARC,DM68xk,,Full-time to the  The Fun Machine System .,K0JSC.COM,2,363976,7301,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,56.5,NNE,yes,449.925,444.925,103.5,Chaffee,On-Air,yes,103.5,"Upper Arkansas and Platte Rivers, and the SLV",,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,CCARC,,Colorado ARES,,,E-power (Bat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,56.5,NNE,yes,449.65,444.65,107.2,Chaffee,On-Air,yes,,Wide area.,,,,CCARC,,,,CMRG Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,57.1,NNE,yes,145.295,144.695,107.2,Chaffee,On-Air,yes,,Wide area.,,Cheyenne Mtn Repeater Group,,CCARC,DM78ik,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
