Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,Coverage,Links,Affiliate,IRLP,Notes,Nets,Web links,On-air,Commands,EchoLink,DMR Enabled,Color Code,Wide Network,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Local/Cluster,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Worldwide English,N. Colorado,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Wyoming,WyLOCAL
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,43.4,SE,yes,147.135,146.535,123,,Hinsdale,On-Air,,E-power (solar),CCARC,yes,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,44.3,NW,yes,448.15,443.15,100,,Mesa,On-Air,,,CCARC,yes,,,,7963,,,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,44.7,NNW,yes,449.3,444.3,107.2,107.2,Mesa,On-Air,,e-power Linked to GMRA Open System,CCARC,yes,Wide Area I-70 West Rifle to Western Utah,,,3710,Closed IRLP out,RACES Wed 1930 hrs,http://www.gmra.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,46.2,NNW,yes,446.9125,441.9125,,,Mesa,On-Air,Bill Frost,,,yes,"Grand Junction, I70",,,,Brandmeister network,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,47.5,SSE,yes,447.525,442.525,127.3,,San Juan,On-Air,KB5ITS,E-power.,CCARC,yes,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,47.5,SSE,yes,444,449,67,,San Juan,On-Air,,,,yes,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,47.5,SSE,yes,145.325,144.725,127.3,,San Juan,On-Air,,Solar powered,CCARC,yes,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,49.2,SSE,yes,147.375,147.975,156.7,,San Juan,On-Air,,13,CCARC,yes,Wide area.,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,51.6,ESE,yes,147.12,147.72,,,Gunnison,On-Air,W0VTL,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,51.6,ESE,yes,449.95,444.95,,,Gunnison,,K5GF,,CCARC,yes,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,52.9,N,yes,449.5,444.5,107.2,,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,54,S,yes,147.27,147.87,127.3,,San Juan,On-Air,KB5ITT,E-power.,CCARC,yes,Wide area.,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
