Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,EchoLink,IRLP,Web links,Coordination,Last update,Coverage,Commands,On-air,Links,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Features,Mixed-Mode,Notes,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,AllStar,Nets,Grid,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Colorado,Southern Colorado,Denver Regional,Amarillo WIRES-X,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Northern Colorado,Kansas,CKRG,KansasLink,Bandwidth,BYRG,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,80.1,SE,yes,147.15,147.75,88.5,,Texas,On-Air,DBARC,,,http://caprockintertie.org/,ORSI,yes,,,,Full-time to the  Caprock Intertie System .,,,,,"Linked, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,80.7,WSW,yes,444.8,449.8,77,,Union,Off-Air,Sierra Grande Repeater Club,,,,NMFCC,yes,Wide area.,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,80.7,WSW,yes,147.175,147.775,141.3,,Union,On-Air,NMEMA ARC,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,80.7,WSW,yes,146.85,146.25,100,,Union,Off-Air,Sierra Grande RC,,,,NMFCC,yes,Wide area.,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,156.7,N0OMC,Lakin,KS,OPEN,,82.4,E,yes,146.985,146.385,156.7,156.7,Kearney,On-Air,N0OMC,,,,Kansas Repeater Council,yes,"Kearny, Finney and Scott Counties",,,,,,,,E-power,,Linked full time to the Garden City 146.910 and Scott City 146.700 repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,87.1,NNE,yes,442.175,447.175,156.7,,Greeley,On-Air,WKARC,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,95.7,SE,yes,443.1,448.1,141.3,,Seward,On-Air,SPARK,,,http://skect.org/default.aspx,Kansas Repeater Council,yes,Local,,,Full-time to the  SKECT System .,,,,,Autopatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,95.7,SE,yes,146.805,146.205,103.5,103.5,Seward,On-Air,Southern Plains ARC,,,http://spark-ks.org/,Kansas Repeater Council,yes,Local,,,,,,,,Autopatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,102.9,E,yes,146.91,146.31,141.3,141.3,Finney,On-Air,Sand Hills ARC,,,,Kansas Repeater Council,yes,"Finney, Scott and Kearney counties.",,,"Full-time to  
        146.70000 (WA0OQA) at Scott City, KS .",,,,,E-power.,,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,,,,,,,48588,Tue at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,103.9,WNW,yes,146.73,146.13,88.5,,Huerfano,On-Air,Pueblo Ham Club,,,Pueblo Ham Club,CCARC,yes,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
