Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
119,W0LRA,449.57500,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Loveland, Namaqua Hill"
120,K0NR,447.72500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Monument, Monument Hill"
121,K0ML,147.04500,+,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Northglenn"
122,ND0Q,146.79000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Pueblo, Baculite Mesa"
123,ND0Q,447.95000,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Pueblo"
124,KC0CVU,145.29500,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Salida, Methodist Mountain"
125,KB0VJJ,147.28500,+,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Salida, Methodist Mountain"
126,KC0CVU,449.65000,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Salida, Methodist Mountain"
127,K0CL,146.67000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Snowmass Village"
128,KB0TUC,927.70000,-,25.00000,DTCS,88.5,88.5,114,NN,FM,5,"Canon City, Fremont Peak"
129,KD0H,147.21000,+,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Steamboat Springs"
130,KB0VJJ,147.34500,+,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Vail"
131,KB0VJJ,145.16000,-,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Walden, Peterson Ridge"
132,W0UPS,146.62500,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Buckhorn Mountain"
133,NX0G,146.82000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Woodland Park"
134,NX0G,448.65000,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Woodland Park"
135,K0RV,146.61000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Vail, Bald Mountain"
136,K0VQ,447.05000,-,5.00000,Tone,136.5,136.5,023,NN,FM,5,"Aspen, Aspen Mountain"
137,W0CRA,447.57500,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
138,KI0GO,449.75000,-,5.00000,Tone,103.5,103.5,023,NN,FM,5,"Golden, Guy Hill"
139,W0WYX,449.82500,-,5.00000,Tone,103.5,88.5,023,NN,FM,5,"Broomfield"
140,W0TX,224.38000,-,1.60000,Tone,100.0,100.0,023,NN,FM,5,"Lakewood, Green Mountain"
141,KC0CVU,448.00000,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
142,WB0TUB,449.60000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Centennial, Warren Mountain"
143,WQ8M,448.70000,-,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Parker"
144,KC0RBT,447.45000,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Fort Collins"
145,N0SZ,445.08750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Breckenridge, Baldy"
146,KB7SWR,145.23500,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Cheyenne"
147,KC7SNO,147.10500,+,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Cheyenne, North Park"
148,KC7SNO,146.77500,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Cheyenne, Denver Hill"
149,WB7GR,449.30000,-,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Cheyenne, Chalk Bluffs"
150,W0CDS,446.96250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Golden, Lookout Mountain"
151,W0MOG,927.80000,-,25.00000,DTCS,88.5,88.5,116,NN,FM,5,"Colorado Springs"
152,K1TJ,927.95000,-,25.00000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Horsetooth Mountain"
153,K1TJ,1283.55000,-,20.00000,Tone,100.0,88.5,023,NN,FM,5,"Fort Collins"
154,W0UPS,448.02500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Loveland, Budweiser Event Center"
155,N0ZUQ,449.42500,-,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Fort Collins, Christ Mountain"
156,W0UPS,224.84000,-,1.60000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Buckhorn Mountain"
157,W0CDS,145.25000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Golden, Lookout Mountain"
158,KA0WUC,927.90000,-,25.00000,DTCS,88.5,88.5,205,NN,FM,5,"Woodland Park"
159,W0CDS,1283.96250,-,20.00000,,88.5,88.5,023,NN,FM,5,"Golden, Lookout Mountain"
160,KC0DS,1283.86250,-,20.00000,,88.5,88.5,023,NN,FM,5,"Boulder"
161,W0DK,1299.50000,-,20.00000,,88.5,88.5,023,NN,FM,5,"Boulder"
162,WA2YZT,446.83750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Golden, Lookout"
163,WA4CCC,447.45000,-,5.00000,Tone,103.5,88.5,023,NN,FM,5,"Winter Park"
164,WZ0N,449.92500,-,5.00000,Tone,103.5,103.5,023,NN,FM,5,"Salida, Methodist Mountain"
165,AB0SF,927.82500,-,25.00000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Horsetooth Mountain"
166,N0SZ,446.98750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Boulder, Lee Hill"
167,K7PFJ,446.95000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Colorado Springs, Almagre Mountain"
168,KB0VGD,446.97500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Golden, Table Mountain"
169,WZ0N,447.12500,-,5.00000,Tone,103.5,103.5,023,NN,FM,5,"Fairplay, Sacramento Mountain"
170,KB0VJJ,147.28500,+,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Winter Park, Winter Park"
171,KB0VJJ,147.16500,+,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Steamboat Springs"
172,W0TX,447.82500,-,5.00000,DTCS,88.5,88.5,073,NN,FM,5,"Lakewood, St Anthony Medical Campus"
173,W0UPS,447.70000,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Buckhorn Mountain"
174,KI0HG,147.03000,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Allenspark, AFPD Station #5"
175,W0TX,446.78750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Denver, Centennial Cone"
176,N0PYY,927.78750,-,25.00000,Tone,156.7,88.5,023,NN,FM,5,"Golden"
177,KC0CVU,927.85000,-,25.00000,DTCS,88.5,88.5,114,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
178,K0JSC,446.73750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Canon City, Fremont Peak"
179,K0JSC,447.97500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Canon City, Colorado"
180,N0SZ,446.93750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
181,N0ESQ,446.92500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Castle Rock, Devils Head"
182,N1FSX,449.90000,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Punkin Center"
183,K0JSC,448.97500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Pueblo West"
184,KA0WUC,447.67500,-,5.00000,Tone,179.9,179.9,023,NN,FM,5,"Woodland Park"
185,KC0CVU,446.91250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
186,KC0CVU,145.37500,-,0.60000,,88.5,88.5,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
187,KC0DS,145.38750,-,0.60000,,88.5,88.5,023,NN,FM,5,"Boulder"
188,NE0Z,147.00000,+,0.60000,,88.5,88.5,023,NN,FM,5,"Pueblo, CSU"
189,AA0L,147.13500,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Colorado Springs"
190,AA0SP,147.18000,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Colorado Springs, Almagre Mountain"
191,AC0KC,224.96000,-,1.60000,,88.5,88.5,023,NN,FM,5,"Fort Lupton"
192,N0SZ,446.80000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Boulder, Mount Thorodin"
193,KC0DS,446.86250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Boulder"
194,N6RFI,447.20000,-,5.00000,Tone,82.5,88.5,023,NN,FM,5,"Severance, Cactus Hill"
195,N0ESQ,447.52500,-,5.00000,Tone,203.5,146.2,023,NN,FM,5,"Parker, Hess Reservoir"
196,N0ESQ,447.52500,-,5.00000,Tone,146.2,146.2,023,NN,FM,5,"Castle Rock, Devils Head (Pike National Forest)"
197,WA6IFI,447.55000,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Colorado Springs"
198,W7RF,447.72500,-,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Fort Collins"
199,K0FEZ,447.92500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Denver"
200,N0SZ,448.22500,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
201,N0KG,448.25000,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Colorado Springs, Broadmoor Area"
202,W0BG,448.27500,-,5.00000,Tone,156.7,88.5,023,NN,FM,5,"Aurora"
203,AA0L,448.30000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Colorado Springs"
204,N0ZUQ,448.40000,-,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Aurora"
205,N0ELY,448.75000,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Lakewood"
206,WR0AEN,449.15000,-,5.00000,Tone,136.5,88.5,023,NN,FM,5,"Aurora"
207,N1UPS,449.30000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Westminster"
208,WR0AEN,449.32500,-,5.00000,Tone,136.5,107.2,023,NN,FM,5,"Greeley"
209,,449.57500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Colorado Springs"
210,WR0AEN,449.65000,-,5.00000,Tone,136.5,88.5,023,NN,FM,5,"Denver"
211,WR0AEN,449.67500,-,5.00000,Tone,136.5,88.5,023,NN,FM,5,"Denver"
212,W0TX,449.77500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Lakewood, Green Mtn"
213,KD0RG,449.92500,-,5.00000,Tone,114.8,114.8,023,NN,FM,5,"Brighton"
214,W0CDS,1299.90000,,0.0,,88.5,88.5,023,NN,FM,5,"Golden, Lookout Mountain"
215,WR0AEN,449.00000,-,5.00000,Tone,136.5,136.5,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
216,WB7UPS,448.32500,-,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Wellington"
217,N0AOL,446.73750,-,5.00000,,88.5,88.5,023,NN,FM,5,"Fort Collins"
218,K7PFJ,446.75000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Fort Collins, Horsetooth Mountain"
219,AC0KC,447.30000,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Fort Lupton"
220,N0XLF,145.19000,-,0.60000,Tone,131.8,131.8,023,NN,FM,5,"Palmer Lake, Monument Hill"
221,N0OBA,145.19000,-,0.60000,Tone,151.4,131.8,023,NN,FM,5,"Aurora"
222,W9SL,449.95000,-,5.00000,Tone,77.0,77.0,023,NN,FM,5,"Castle Pines, Daniels Park"
223,K0JSC,447.25000,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Canon City, Fremont Peak"
224,W0QEY,446.81250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Fort Collins, CSU Durward Hall"
225,KC7DHF,448.95000,-,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Cheyenne"
226,N0SZ,445.05000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Boulder, Lee Hill"
227,KA4EPS,449.32500,-,5.00000,Tone,103.5,103.5,023,NN,FM,5,"Woodland Park, Paradise Pines"
228,AC0KQ,447.85000,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Evergreen, Saddleback Mountain"
229,K0UPS,449.25000,-,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Cedar Point"
230,KI0HC,927.83750,-,25.00000,DTCS,88.5,100.0,205,NN,FM,5,"Golden, Centennial Cone"
231,KI0HC,927.83750,-,25.00000,Tone,100.0,100.0,023,NN,FM,5,"Parker"
232,K0GUR,448.15000,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Denver, Green Valley Ranch"
233,KB0VJJ,449.62500,-,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Steamboat Springs"
234,KE0SJ,447.62500,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Lochbuie"
235,KD0SSP,147.21000,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Lakewood, Moffat Treatment Plant"
236,KD0QPG,446.97500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Salida, Methodist Mountain"
237,N6LXX,447.87500,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Morrison, Mt. Morrison"
238,N6LXX,53.17000,-,1.0,Tone,107.2,88.5,023,NN,FM,5,"Morrison, Mt. Morrison"
239,W0FT,448.20000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Fort Morgan, Fort Morgan EOC"
240,N0SZ,145.37000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Golden, Lookout Mountain"
241,W0DMR,446.77500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Fort Collins, Timnath"
242,K0PRA,446.85000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Franktown"
243,WA0DE,147.10500,+,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Simla"
244,W0JRL,447.17500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Denver, Broadway Plaza Lofts"
245,W0DMR,147.39000,+,0.60000,,88.5,88.5,023,NN,FM,5,"Fort Collins, Timnath"
246,N0SZ,446.81250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Salida, Methodist Mountain"
247,N0SZ,446.76250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Fairplay, Badger"
248,KD0MDP,447.62500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Falcon, Black Forest"
249,W0JZ,146.91000,+,0.60000,Tone,123.0,127.3,023,NN,FM,5,"Gold Hill "
250,K0JSC,449.97500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Salida, Methodist Mountain"
