Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Web links,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,DMR Enabled,Color Code,Wide Network,EchoLink,IRLP,AllStar,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,D-STAR Enabled,Node,Sources,BGV,Parrot,WIRES-X,Talkgroup Network,Idaho,Bandwidth,P25 Digital Enabled,NAC,Default Reflector,Feed
442.1,5,100,AA7WG,"Salmon, Baldy Mountain",ID,,,87.1,SE,,442.1,447.1,100,Lemhi,On-Air,,,Linked to 146.98 Salmon and 146.78 Challis,,,100,,,,,,,,,,,Lemhi Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.375,5,131.8,N7SAU,"Clarkston, Stout Ranch",WA,OPEN,,90.9,WNW,,444.375,449.375,131.8,Garfield,,,N7SAU,E-power.,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,103.5,KB7DZR,Joseph,OR,OPEN,E,91.9,WSW,,147,147.6,103.5,Wallowa,On-Air,"Joseph, Wallowa Lake, Enterprise, Wallowa Valley and parts of The Eagle Cap Wilderness.",KB7DZR,"WX, e-power (Batt &amp; Gen).",ORRC,,103.5,Joseph Oregon Repeater System,0,,,,,103,Yes; analog capable.,DODROPIN Newsline Net: Sat at 18:00.,"Open for any use and everyone is welcome on this system. Feel free to enter commands for info, weather and Echolink. Printable user guide available on the web site. YSF DSQ code 103",,,,,323569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,,WB7TBM,"Moscow,  Paradise Ridge",ID,OPEN,,94.1,NW,,146.7,146.1,,Latah,Off-Air,,Thatuna ARC,"E-power, 3,700'.",UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.3,5,110.9,K7ZZL,Cascade,ID,OPEN,,95.2,SSW,,443.3,448.3,110.9,Valley,On-Air,,Deer Point ARC,Remote base.,UVHFS,,,,Link: 694.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.1625,-25,151.4,NB7C,Cascade,ID,OPEN,A,95.2,SSW,,927.1625,902.1625,151.4,Valley,On-Air,Valley County,NB7C,Connected to 927_Tech,W7ZRQ,,151.4,,,,,,,,,,,WI7ATV,,,,,,29826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,88.5,W7PX,"Superior, Thompson Peek",MT,OPEN,,95.8,NNE,,146.96,146.36,88.5,Mineral,On-Air,"I-90 = Fish Creek, MT to St. Regis, MT",Hellgate Amateur Radio Club,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,127.3,WA7HWD,"Moscow, Moscow Mountain",ID,OPEN,,96,NW,,146.82,146.22,127.3,Latah,On-Air,Wide area.,NW Tri-State Amateur Radio Org,Link.,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,100,K7EI,"Moscow, Moscow Mountain",ID,CLOSED,,96,NW,,444.975,449.975,100,Latah,,Wide area.,,,UVHFS,,,,,Unknown,DN16nt,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,CC1,W7CIA,Cascade,ID,OPEN,EI,97.1,SSW,,146.96,146.36,,Valley,On-Air,Two miles south of Smiths Ferry on Hwy 55 to McCall.,,2,UVHFS,,,http://www.ciarc.org/repeaters/w7cia.shtml,,,,"Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,,Low level. EchoLink/ IRLP by Control Operator only.,Central Idaho Amateur Radio Club,,1,,696264,3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
