Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS01,462.562500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,GMRS02,462.587500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,GMRS03,462.612500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,GMRS04,462.637500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,GMRS05,462.662500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,GMRS06,462.687500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,FRS07,462.712500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,FRS08,467.562500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS09,467.587500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS10,467.612500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS11,467.637500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS12,467.662500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS13,467.687500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,FRS14,467.712500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMRS15,462.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS16,462.575000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS17,462.600000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS18,462.625000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS19,462.650000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS20,462.675000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS21,462.700000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMRS22,462.725000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,REPT15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,REPT16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,REPT17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,REPT18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,REPT19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
