Location,Name     ,Frequency ,Duplex,Offset  ,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0       ,MURS 1   ,151.820000,      ,0.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,5.00 ,    ,       ,      ,        ,        ,
1       ,MURS 2   ,151.880000,      ,0.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,5.00 ,    ,       ,      ,        ,        ,
2       ,MURS 3   ,151.940000,      ,0.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,5.00 ,    ,       ,      ,        ,        ,
3       ,Blue Dot ,154.570000,      ,0.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,5.00 ,    ,       ,      ,        ,        ,
4       ,Green Dot,154.600000,      ,0.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,5.00 ,    ,       ,      ,        ,        ,
5       ,FRS1     ,462.562500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
6       ,FRS2     ,462.587500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
7       ,FRS3     ,462.612500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
8       ,FRS4     ,462.637500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
9       ,FRS5     ,462.662500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
10      ,FRS6     ,462.687500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
11      ,FRS7     ,462.712500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
12      ,FRS8     ,467.562500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
13      ,FRS9     ,467.587500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
14      ,FRS10    ,467.612500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
15      ,FRS11    ,467.637500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
16      ,FRS12    ,467.662500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
17      ,FRS13    ,467.687500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
18      ,FRS14    ,467.712500,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,NFM ,12.50,    ,       ,      ,        ,        ,
19      ,GMRS1    ,462.550000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
20      ,GMRS2    ,462.575000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
21      ,GMRS3    ,462.600000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
22      ,GMRS4    ,462.625000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
23      ,GMRS5    ,462.650000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
24      ,GMRS6    ,462.675000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
25      ,GMRS7    ,462.700000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
26      ,GMRS8    ,462.725000,      ,5.000000,    ,88.5     ,88.5     ,023     ,NN          ,FM  ,25.00,    ,       ,      ,        ,        ,
