Location,Name     ,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
58      ,446.2    ,446.2    ,      ,0     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
59      ,446.225  ,446.225  ,      ,0     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
60      ,446.25   ,446.25   ,      ,0     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
61      ,446.275  ,446.275  ,      ,0     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
62      ,GMRS15   ,462.55   ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
63      ,GMRS1    ,462.5625 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
64      ,GMRS16   ,462.575  ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
65      ,GMRS2    ,462.5875 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
66      ,GMRS17   ,462.6    ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
67      ,GMRS3    ,462.6125 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
68      ,GMRS18   ,462.625  ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
69      ,GMRS4    ,462.6375 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
70      ,GMRS19   ,462.65   ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
71      ,GMRS5    ,462.6625 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
72      ,GMRS20   ,462.675  ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
73      ,GMRS6    ,462.6875 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
74      ,GMRS21   ,462.7    ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
75      ,GMRS7    ,462.7125 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
76      ,GMRS22   ,462.725  ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,25   ,    ,       ,      ,        ,        ,
77      ,FRS8     ,467.5625 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
78      ,FRS9     ,467.5875 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
79      ,FRS10    ,467.6125 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
80      ,FRS11    ,467.6375 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
81      ,FRS12    ,467.6625 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
82      ,FRS13    ,467.6875 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
83      ,FRS14    ,467.7125 ,      ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,NFM ,25   ,    ,       ,      ,        ,        ,
