Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,IRLP,Web links,Last update,Sponsor,Links,Affiliate,Coordination,On-air,Coverage,EchoLink,Notes,Nets,D-STAR Enabled,Node,Sources,Features,Downlink Tone,Commands,YSF Digital Enabled,DG-ID,Mixed-Mode,Grid,DMR Enabled,Color Code,Wide Network,Talkgroups,Wyoming,WyLOCAL,Local Network,Worldwide English,North America,Simplex,TAC 310,Echo Test,Hytera USA Reflector,MPRG 2,BGV,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,TAC 311,DCI Bridge
146.4,0.6,118.8,KD0CST,Shepherd,MT,OPEN,I,8.8,W,,146.4,147,118.8,Yellowstone,On-Air,3005,http://status.irlp.net/?nodeid=3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,,WR7MT,Billings,MT,OPEN,,10.3,E,,147.08,147.68,,Yellowstone,On-Air,,,,Montana Repeater Linking Assoc,Full-time to the  MRLA System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,123,KF7FW,Pompeys Pillar,MT,OPEN,,10.3,E,,147.18,147.78,123,Yellowstone,On-Air,,,,KF7FW,Full-time to the  MRLA System .,Montana Repeater Linking Assoc,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.29,-1,,KF7FW,Pompeys Pillar,MT,OPEN,,10.3,E,,53.29,52.29,,Yellowstone,,,,,KF7FW,,Montana Repeater Link Association,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,100,N7YHE,Red Lodge,MT,OPEN,E,20.4,SW,,147.2,147.8,100,Carbon,On-Air,,http://n7yhe.net,,Billings Valley Radio Club,,,,,"Billings to Big Timber and some coverage towards Cody, Wyoming but limited that direction.",104664,This repeater is located on Red Lodge MT Ski Resort has great coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,N7YHE,Billings,MT,OPEN,E,20.4,SW,,147.1,147.7,100,Yellowstone,On-Air,,,,,,,MRCC,,Good coverage of Billings and West Billings.  Has extended due to echolink for wide coverage as well.,462231,,Club at 19:00 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,100,W7JDX,Billings,MT,OPEN,,20.4,SW,,449.25,444.25,100,Yellowstone,On-Air,,,,WB6EHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,100,KA7MHP,Billings,MT,OPEN,,20.4,SW,,449.8,444.8,100,Yellowstone,,,,,KA7MHP,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,K7EFA,Billings,MT,OPEN,,20.4,SW,,449,444,,Yellowstone,On-Air,,,,Yellowstone Radio Club K7EFA,,ARRL,MRCC,,Billings Montana Area,,,,,K7EFA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Billings D-star Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,K7EFA,Billings,MT,OPEN,,20.4,SW,,147.24,147.84,100,Yellowstone,On-Air,,http://k7efa.net,,Yellowstone Radio Club,,ARRL,MRCC,,Billings Montana Area,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
