Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Last update,Features,AllStar,Coordination,D-STAR Enabled,Node,Sources,Web links,DMR Enabled,Color Code,Wide Network,Notes,Links,Downlink Tone,IRLP,Commands,Nets,YSF Digital Enabled,DG-ID,Mixed-Mode,Affiliate,P25 Digital Enabled,NAC,Default Reflector,EchoLink,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,On-air,WIRES-X,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,string,2,N,string,446.975,441.975,string,Jefferson,On-Air,Denver Metro Area,W0DMR,string,undefined,undefined,undefined,undefined,undefined,undefined,http://www.w0dmr.org/,string,number,string,undefined,undefined,undefined,undefined,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local","Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,string,4.4,SSE,string,53.09,51.39,107.2,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,string,E-power.,undefined,CCARC,undefined,undefined,undefined,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,string,5.2,ESE,string,147.21,147.81,100,Jefferson,On-Air,undefined,Denver Water Amateur Radio Club,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,100,undefined,undefined,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,string,23,Yes; analog capable.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,string,5.6,SE,string,447.825,442.825,D073,Jefferson,On-Air,undefined,Denver Radio Club,string,undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",undefined,D073,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,5.7,S,string,447.875,442.875,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,string,undefined,29913,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  N6LXX System .,107.2,undefined,undefined,undefined,undefined,undefined,undefined,N6LXX,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,5.7,S,string,53.17,51.47,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,string,undefined,29883,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  N6LXX System .,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,N6LXX,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,string,5.9,WNW,string,224.74,223.14,88.5,Jefferson,On-Air,undefined,Aurora Repeater Assoc,string,e-power,undefined,CCARC,undefined,undefined,undefined,ARA Repeaters,undefined,undefined,undefined,undefined,undefined,88.5,undefined,undefined,ARA: Wed at 2000.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,string,5.9,WNW,string,448.85,443.85,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,string,e-power.,undefined,CCARC,undefined,undefined,undefined,ARA Repeaters,undefined,undefined,undefined,undefined,undefined,88.5,undefined,undefined,ARA: Wed at 20:00.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,string,5.9,WNW,string,145.22,144.62,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,string,8,undefined,CCARC,undefined,undefined,undefined,Repeater,undefined,undefined,undefined,Talk-Group of $FFFF.,undefined,103.5,undefined,undefined,undefined,undefined,undefined,Yes; analog capable.,undefined,string,293,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,string,5.9,WNW,string,449.75,444.75,103.5,Jefferson,On-Air,undefined,Rocky Mtn Radio League,string,8,undefined,CCARC,undefined,undefined,undefined,Repeater,undefined,undefined,undefined,undefined,undefined,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
