Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Sponsor,Commands,AllStar,On-air,Affiliate,EchoLink,D-STAR Enabled,Node,Sources,Links,Grid,Location Photo
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,string,97.1,SSE,string,447.525,442.525,127.3,undefined,San Juan,On-Air,Wide area.,E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KB5ITS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,string,97.1,SSE,string,444,449,67,undefined,Huerfano,On-Air,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,string,97.1,SSE,string,145.325,144.725,127.3,undefined,San Juan,On-Air,undefined,Solar powered,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,string,99,SSE,string,147.375,147.975,156.7,undefined,San Juan,On-Air,Wide area.,13,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",undefined,undefined
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,string,101.9,SSE,string,147.27,147.87,127.3,undefined,San Juan,On-Air,Wide area.,E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KB5ITT,undefined,undefined,undefined,Durango ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,string,103.2,SE,string,447.65,442.65,151.4,151.4,Gunnison,On-Air,Gunnison valley and along East and west on Highway 50.,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KB0YNA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",undefined,undefined
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,string,106.1,NNE,string,145.265,144.665,107.2,undefined,Moffat,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,NW Colorado ARC,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,string,106.1,NNE,string,146.97,146.37,88.5,123,Moffat,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Northwest Colorado Amateur Radio Association,undefined,undefined,undefined,Colorado Connection,undefined,undefined,undefined,undefined,Full-time to the  Colorado Connection System .,undefined,undefined
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,106.4,SW,string,146.61,146.01,88.5,undefined,San Juan,On-Air,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Remote base.,3270,11.36,undefined,http://www.sdarc.us/repeaters/abajo.html,UVHFS,string,undefined,undefined,undefined,Sinbad Desert ARC,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined
447.4,-5,string,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,string,106.4,SW,string,447.4,442.4,string,undefined,San Juan,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",11,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,Cactus-Intertie,undefined,undefined,undefined,undefined,undefined,undefined,undefined
223.94,-1.6,string,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,string,106.4,SW,string,223.94,222.34,string,undefined,San Juan,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",11,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,Grand Mesa Rptr Assoc,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,string,106.4,SW,string,447.1,442.1,107.2,107.2,San Juan,On-Air,Wide area.,E-power.,undefined,11,undefined,http://gmra.org,UVHFS,string,undefined,undefined,undefined,Grand Mesa Repeater Association (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  GMRA Open System .,undefined,undefined
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,string,107.9,E,string,147.345,147.945,88.5,123,Eagle,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,9,undefined,undefined,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",undefined,CCARC,string,undefined,undefined,undefined,Colorado Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  Colorado Connection System .,undefined,undefined
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,string,108,E,string,445.075,440.075,string,undefined,Eagle,On-Air,undefined,undefined,undefined,undefined,undefined,http://www.rmham.org/,CCARC,string,string,7,string,K2AD,undefined,undefined,undefined,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.8,-1.6,string,N0AFO,Vail,CO,OPEN,string,111.8,E,string,224.8,223.2,string,undefined,Eagle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,ECHO,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,string,111.8,E,string,449.9,444.9,107.2,107.2,Eagle,Off-Air,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,ECHO,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,string,111.9,E,string,146.61,146.01,107.2,undefined,Eagle,On-Air,undefined,11,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,ECHO,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.32,0.6,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,112.4,WNW,string,147.32,147.92,88.5,undefined,Carbon,On-Air,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10. 50 mi radius.",Remote base.,3270,110,undefined,http://sdarc.us/repeaters/bruin.html,UVHFS,string,undefined,undefined,undefined,Sinbad Desert ARC,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,DM49tp,string
449.05,-5,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,112.4,WNW,string,449.05,444.05,88.5,undefined,Carbon,On-Air,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10.",Remote base.,3270,undefined,undefined,http://sdarc.us/repeaters/bruin.html,UVHFS,string,undefined,undefined,undefined,Sinbad Desert ARC,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined,string
145.175,-0.6,string,WX7Y,"Sunny Side, Bruin Peak",UT,OPEN,string,112.9,WNW,string,145.175,144.575,string,undefined,Carbon,On-Air,Eastern Utah,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,SDARC,United States,undefined,undefined,Sinbad Desert A.R.C.,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,114.9,SE,string,449.525,444.525,100,100,Mineral,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,N0PKT,undefined,43265,undefined,The Fun Machine,undefined,undefined,undefined,undefined,Full-time to the  The Fun Machine System .,DM67lt,undefined
146.925,-0.6,string,WA0JS,Creede,CO,OPEN,string,116.3,SE,string,146.925,146.325,string,undefined,Mineral,Off-Air,undefined,undefined,undefined,WA0JS license expired,undefined,undefined,CCARC,string,undefined,undefined,undefined,Creede ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.49,-0.6,136.5,W7BYU,"Myton, Flat Top",UT,OPEN,string,120.8,NW,string,145.49,144.89,136.5,undefined,Duchesne,On-Air,"Duchesne, UT area.",E-power.,undefined,5,undefined,http://sdarc.us/repeaters/flat-top.html,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Sinbad Desert ARC (SDARC),undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,string,123.4,E,string,147.075,147.675,88.5,123,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,undefined,undefined,Part of the Colorado Connection system of Repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,CCARC,string,undefined,undefined,undefined,Colorado Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  Colorado Connection System .,undefined,undefined
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,string,124.6,NE,string,147.21,147.81,107.2,107.2,Routt,On-Air,undefined,"Linked, WX.",undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,SSARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,string,124.6,NE,string,147.165,147.765,88.5,123,Routt,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,Colorado Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  Colorado Connection System .,undefined,undefined
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,string,124.6,NE,string,449.625,444.625,123,123,Routt,On-Air,Local Steamboat Area,Statewide Linked System,undefined,undefined,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",http://colcon.org,undefined,string,undefined,undefined,undefined,"Colorado Connection Repeaters, Inc.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.74,-0.6,100,WB7CBS,Altamont,UT,OPEN,string,134.2,NW,string,146.74,146.14,100,undefined,Duchesne,Off-Air,undefined,Autopatch.,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.28,0.6,107.2,AD7ZW,Altamont,UT,OPEN,EI,134.2,NW,string,147.28,147.88,107.2,107.2,Duchesne,On-Air,string,Autopatch,3205,undefined,undefined,http://ad7zwrepeater.xyz,UVHFS,string,undefined,undefined,undefined,AD7ZW,B21 = 911 B22 = Local Public Safety Dispatch (Non Emergency) B3 = 3 Minute Autopatch Extension B0 = Autopatch Disconnect,undefined,undefined,undefined,458414,undefined,undefined,undefined,undefined,undefined,undefined
