Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Sponsor,Commands,AllStar,On-air,Affiliate,EchoLink,D-STAR Enabled,Node,Sources,Links,Grid,Location Photo
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,22.4,ESE,string,449.65,444.65,151.4,151.4,Mesa,On-Air,Wide area coverage,NWS weather alert system.,8162,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Keri Washburn,11,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",undefined,undefined
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,string,22.5,ESE,string,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,undefined,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,CCARC,string,undefined,undefined,undefined,Colorado Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  Colorado Connection System .,undefined,undefined
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,string,22.7,E,string,449.5,444.5,107.2,undefined,Mesa,Off-Air,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Grand Mesa Repeater Association (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,string,27,SE,string,147.36,147.96,100,undefined,Delta,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,W0ALC,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,string,27,SE,string,449.825,444.825,100,undefined,Delta,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,W0ALC,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,string,27,SE,string,147.195,147.795,107.2,undefined,Delta,undefined,Local.,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,Colorado District 25 ARES,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,string,28.5,NE,string,449.8,444.8,107.2,undefined,Garfield,On-Air,undefined,8,undefined,undefined,undefined,GMRA Repeaters,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,39.9,NE,string,146.76,146.16,107.2,undefined,Garfield,Off-Air,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",undefined,undefined,undefined,undefined,243117,undefined,undefined,undefined,undefined,DM69cl,undefined
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,40.2,SSW,string,449.4,444.4,131.8,131.8,Mesa,On-Air,Wide area via links - Western Colorado - Eastern Utah,E-power.,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,http://www.gmra.org,CCARC,string,undefined,undefined,undefined,"WA4HND,  Grand Mesa Repeater Association",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  GMRA Open System .,undefined,undefined
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,string,44.1,SE,string,147.33,147.93,107.2,undefined,Delta,On-Air,Wide area.,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,North Fork Repeater Assoc.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
