Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Downlink Tone,Coverage,Affiliate,Features,Links,IRLP,Notes,Nets,Sponsor,Grid,AllStar,On-air,DMR Enabled,Color Code,Wide Network,Commands,EchoLink,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Denver Regional,Northern Colorado,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,49.4,N,,147.36,147.96,100,Delta,,,CCARC,,,,,,,,,,W0ALC,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,52.2,E,,147.12,147.72,,Gunnison,On-Air,,CCARC,,,,,E-power.,,,,,W0VTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,52.2,E,,449.95,444.95,,Gunnison,,,CCARC,,,,,,,,,,K5GF,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,52.2,SE,,146.925,146.325,,Mineral,Off-Air,,CCARC,,,,,,,,WA0JS license expired,,Creede ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,53.9,WNW,,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,,131.8,Wide area via links - Western Colorado - Eastern Utah,,E-power.,Full-time to the  GMRA Open System .,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,"WA4HND,  Grand Mesa Repeater Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,55.4,SSW,,146.67,146.07,100,La Plata,On-Air,DARC Repeaters,CCARC,,,Wide area.,,11,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,Linked active in the summer months only.,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,56.1,S,,146.7,146.1,100,La Plata,On-Air,http://durangoarc.org/,CCARC,,100,Local.,,9,,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,56.2,N,,447.35,442.35,107.2,Delta,,GMRA Repeaters,CCARC,,,,,,,,,,Grand Mesa Repeater Assoc (GMRA),,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,57.2,S,,445.1375,440.1375,,La Plata,On-Air,http://www.rmham.org/,CCARC,,,,Rocky Mountain Ham Radio,,,,,,K2AD,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,58.4,S,,147.345,147.945,88.5,La Plata,On-Air,,CCARC,,123,Durango and north towards Molas Divide.,,,Full-time to the  Colorado Connection System .,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
