Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Downlink Tone,Nets,Notes,Links,IRLP,On-air,Affiliate,EchoLink,AllStar,D-STAR Enabled,Node,Sources,Commands,DMR Enabled,Color Code,Wide Network,Location Photo,Grid,Talkgroup Network,Talkgroups,Colorado,Southern Colorado
147.06,0.6,88.5,K7SDC,"Castle Dale, Horn Mountain",UT,OPEN,EI,103.2,WNW,string,147.06,147.66,88.5,Emery,On-Air,"Wide area: Most of western Emery County including the towns of Castle Dale, Orangeville, Huntington, Cleveland, Ferron, and further east into the San Rafael desert. It also covers the towns of Sunnyside and East Carbon, UT.",Sinbad Desert ARC,"Closed autopatch, remote base.",http://sdarc.us/repeaters/horn.html,UVHFS,string,undefined,undefined,8,Full-time to the  Sinbad Desert (SDARC) System .,3270,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,DM49kf,undefined,undefined,undefined,undefined
447.625,-5,100,K7YI,"Castle Dale, Horn Mountain",UT,OPEN,string,103.2,WNW,string,447.625,442.625,100,Emery,On-Air,Wide area.,San Rafael Cactus Assoc,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Cactus-Intertie,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,string,103.9,E,string,147.33,147.93,107.2,Delta,On-Air,Wide area.,North Fork Repeater Assoc.,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,string,104.2,SE,string,145.325,144.725,100,Montezuma,On-Air,Wide area.,undefined,E-power.,http://www.sjcham.com,CCARC,string,undefined,undefined,Full time to the San Juan Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1299.25,-20,string,KF7YIX,"Torquerville, Hurricane Mesa",UT,OPEN,string,104.9,WNW,string,1299.25,1279.25,undefined,Washington,On-Air,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,KF7YIX (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,string,105.3,SE,string,147.27,147.87,127.3,San Juan,On-Air,Wide area.,KB5ITT,E-power.,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Durango ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,string,105.9,SE,string,442.375,447.375,100,Montezuma,On-Air,undefined,San Juan Connection,undefined,undefined,undefined,string,undefined,undefined,undefined,Full-time to the  San Juan Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.2,0.6,88.5,K7GX,"Price, Wood Hill",UT,OPEN,EI,106,NW,string,147.2,147.8,88.5,Carbon,undefined,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,3270,Unknown,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.3,-5,string,K7GX,"Price, Wood Hill",UT,OPEN,EI,106,NW,string,448.3,443.3,string,Carbon,undefined,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,3270,Unknown,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.5,-1.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,106.1,NW,string,224.5,222.9,88.5,Carbon,undefined,undefined,College of Eastern Utah ARC,5,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.3,-5,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,106.1,NW,string,448.3,443.3,88.5,Carbon,undefined,Price.,College of Eastern Utah ARC,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.43,-0.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,106.1,NW,string,145.43,144.83,88.5,Carbon,undefined,Price.,undefined,5,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,string,108.2,SE,string,145.325,144.725,127.3,San Juan,On-Air,undefined,undefined,Solar powered,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,string,108.2,SE,string,444,449,67,Huerfano,On-Air,undefined,undefined,undefined,http://www.sjcham.com,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,string,108.3,SE,string,447.525,442.525,127.3,San Juan,On-Air,Wide area.,KB5ITS,E-power.,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,string,108.4,SE,string,146.67,146.07,100,La Plata,On-Air,Wide area.,Durango ARC,11,DARC Repeaters,CCARC,string,undefined,undefined,Linked active in the summer months only.,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,string,110.6,SE,string,147.375,147.975,156.7,San Juan,On-Air,Wide area.,undefined,13,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,113.1,NE,string,146.76,146.16,107.2,Garfield,Off-Air,"New Castle, Silt, Rifle and Rulison and areas around Parachute.","N0SWE,  Roaring Fork Amateur Repeater Cooperative",E-power.,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,243117,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,DM69cl,undefined,undefined,undefined,undefined
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,string,113.5,SE,string,145.37,144.77,100,La Plata,On-Air,undefined,undefined,E-power.,http://www.sjcham.com,CCARC,string,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,string,119.5,SE,string,146.7,146.1,100,La Plata,On-Air,Local.,Durango ARC,9,http://durangoarc.org/,CCARC,string,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.31,-0.6,88.5,K7SDC,"Scofield, Ford Ridge",UT,OPEN,I,119.8,NW,string,145.31,144.71,88.5,Carbon,On-Air,Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,Sinbad Desert ARC,"Closed autopatch, remote base.",http://sdarc.us/repeaters/ford.html,UVHFS,string,undefined,undefined,9,undefined,3270,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,string,119.9,SE,string,445.1375,440.1375,string,La Plata,On-Air,undefined,K2AD,undefined,http://www.rmham.org/,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,undefined,undefined,string,7,string,undefined,undefined,undefined,undefined,undefined,undefined
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,string,120,SE,string,147.135,147.735,100,La Plata,On-Air,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,string,120.4,SE,string,448.625,443.625,131.8,La Plata,undefined,Wide area.,KC5EVE,undefined,undefined,CCARC,string,131.8,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.85,-5,100,K0EP,Durango,CO,OPEN,string,120.4,SE,string,449.85,444.85,100,La Plata,On-Air,undefined,DARC,undefined,undefined,CCARC,string,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,string,121.4,SE,string,147.345,147.945,88.5,La Plata,On-Air,Durango and north towards Molas Divide.,Colorado Connection,undefined,undefined,CCARC,string,123,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,Full-time to the  Colorado Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.72,-0.6,100,WB7REL,"Indianola, Indianola Peak",UT,OPEN,I,121.9,WNW,string,146.72,146.12,100,San Pete,On-Air,Northern San Pete County,W7REL and Sanpete County,undefined,undefined,UVHFS,string,undefined,undefined,undefined,Full-time to the  Skyline Repeater System .,3576,undefined,Skyline Radio Club,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.66,-0.6,100,W7DHH,"Ephraim, Horseshoe",UT,OPEN,I,121.9,WNW,string,146.66,146.06,100,San Pete,On-Air,Wide area: Provo to Salina.,Skyline Repeater System,"Autopatch, 10,350'.",undefined,UVHFS,string,undefined,undefined,undefined,undefined,3576,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.64,-1.6,string,N7IMF,"Ephraim,  Horseshoe",UT,OPEN,string,121.9,WNW,string,224.64,223.04,string,San Pete,undefined,Wasatch Front from Payson to Tremonton.,undefined,E-power.,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.08,0.6,88.5,K7SDC,"Scofield, Boardinghouse Ridge",UT,OPEN,EI,122.7,NW,string,147.08,147.68,88.5,Carbon,On-Air,Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,Sinbad Desert ARC,"Closed autopatch, remote base.",http://sdarc.us/repeaters/boardinghouse.html,UVHFS,string,undefined,undefined,9,Full-time to the  Sinbad Desert (SDARC) System .,3270,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.98,-1.6,88.5,WX7Y,"Scofield, Boardinghouse Rdge",UT,OPEN,string,123.2,NW,string,224.98,223.38,88.5,Carbon,undefined,"Wide area: Price, Wellington, Helper, and Huntington areas.","Intermountain Repeater Emergency Amateur Network,  Sinbad Desert ARC",Remote base.,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,string,137.8,SE,string,147.15,147.75,100,La Plata,On-Air,Bayfield,undefined,E-power.,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
