Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Last update,Coordination,Sponsor,EchoLink,Downlink Tone,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Coverage,Features,Notes,Links,On-air,Affiliate,IRLP,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,Grid,Commands,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,Denver Regional,Northern Colorado,Location Photo,Feed,YSF Digital Enabled,DG-ID,Local/Cluster,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,0,W,,447.275,442.275,100,Montezuma,On-Air,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,0,W,,145.19,144.59,100,Montezuma,On-Air,http://www.sjcham.com,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,9.7,SSW,,449.175,444.175,127.3,Montezuma,Off-Air,,,CCARC,KD5LWU,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,9.7,SSW,,146.79,146.19,127.3,Montezuma,On-Air,,,CCARC,KD5LWU,24336,127.3,29317,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,14.8,SE,,446.7375,441.7375,,Montezuma,On-Air,http://www.rmham.org,,CCARC,RMHAM,,,,,,6,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,17.4,SE,,145.325,144.725,100,Montezuma,On-Air,http://www.sjcham.com,,CCARC,,,,,,,,,,,,,Wide area.,E-power.,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,21,SE,,442.375,447.375,100,Montezuma,On-Air,,,,San Juan Connection,,,,,,,,,,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,27.3,ESE,,146.67,146.07,100,La Plata,On-Air,DARC Repeaters,,CCARC,Durango ARC,,,,,,,,,,,,Wide area.,11,Linked active in the summer months only.,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,28.8,SE,,145.37,144.77,100,La Plata,On-Air,http://www.sjcham.com,,CCARC,,,100,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,36,SE,,147.135,147.735,100,La Plata,On-Air,http://www.sjcham.com,,CCARC,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,36.9,SE,,449.85,444.85,100,La Plata,On-Air,,,CCARC,DARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,37,SE,,448.625,443.625,131.8,La Plata,,,,CCARC,KC5EVE,,131.8,,,,,,,,,,Wide area.,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,40.2,ESE,,445.1375,440.1375,,La Plata,On-Air,http://www.rmham.org/,,CCARC,K2AD,,,,,,7,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,40.4,ESE,,146.7,146.1,100,La Plata,On-Air,http://durangoarc.org/,,CCARC,Durango ARC,,100,,,,,,,,,,Local.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,41.3,E,,147.27,147.87,127.3,San Juan,On-Air,,,CCARC,KB5ITT,,,,,,,,,,,,Wide area.,E-power.,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,41.4,SE,,147.345,147.945,88.5,La Plata,On-Air,,,CCARC,Colorado Connection,,123,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,Durango and north towards Molas Divide.,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,46.1,NE,,449.7,444.7,107.2,San Miguel,On-Air,,,CCARC,Grand Mesa Repeater Association ( GMRA ),,107.2,,RACES: Wed at 19:30.,,,,,,,,Wide Area via links - Western Colorado - Eastern Utah,E-power.,Closed IRLP out - Ask for a control Op,Full-time to the  GMRA Open System .,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,51.1,SE,,147.06,147.66,100,San Juan,On-Air,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,51.5,E,,444,449,67,Huerfano,On-Air,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
