Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Affiliate,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,Sponsor,Links,Commands,D-STAR Enabled,Node,Sources,On-air,AllStar,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,Location Photo
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,21.9,SE,string,448.15,443.15,100,undefined,Mesa,On-Air,undefined,undefined,undefined,7963,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,312189,undefined,undefined,undefined,undefined,undefined
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,26.5,SE,string,449.3,444.3,107.2,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,undefined,e-power Linked to GMRA Open System,3710,Closed IRLP out,RACES Wed 1930 hrs,http://www.gmra.org/,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,string,27.3,ESE,string,446.9125,441.9125,string,undefined,Mesa,On-Air,"Grand Junction, I70",undefined,undefined,undefined,Brandmeister network,undefined,undefined,undefined,string,Bill Frost,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,1,string,undefined,undefined
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,string,31.6,NNW,string,447,442,107.2,undefined,Garfield,On-Air,Wide area.,undefined,8,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,40.5,S,string,449.4,444.4,131.8,131.8,Mesa,On-Air,Wide area via links - Western Colorado - Eastern Utah,undefined,E-power.,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,http://www.gmra.org,CCARC,string,"WA4HND,  Grand Mesa Repeater Association",Full-time to the  GMRA Open System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,string,41.5,E,string,449.8,444.8,107.2,undefined,Garfield,On-Air,undefined,undefined,8,undefined,undefined,undefined,GMRA Repeaters,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,string,41.5,ESE,string,449.5,444.5,107.2,undefined,Mesa,Off-Air,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,Grand Mesa Repeater Association (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.35,-5,107.2,string,"Cedaredge, Grand Mesa",CO,OPEN,string,42.1,SE,string,447.35,442.35,107.2,undefined,Delta,undefined,undefined,undefined,undefined,undefined,undefined,undefined,GMRA Repeaters,CCARC,string,Grand Mesa Repeater Assoc (GMRA),undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,42.9,ESE,string,449.65,444.65,151.4,151.4,Mesa,On-Air,Wide area coverage,undefined,NWS weather alert system.,8162,undefined,undefined,undefined,CCARC,string,Keri Washburn,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",11,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,string,43,ESE,string,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",undefined,E-power.,undefined,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,CCARC,string,Colorado Connection,Full-time to the  Colorado Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,string,46.6,SE,string,147.195,147.795,107.2,undefined,Delta,undefined,Local.,Colorado District 25 ARES,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,string,46.6,SE,string,147.36,147.96,100,undefined,Delta,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,W0ALC,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,string,46.6,SE,string,449.825,444.825,100,undefined,Delta,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,W0ALC,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,54,SW,string,146.76,146.16,88.5,undefined,Grand,On-Air,Moab and immediate surroundings.,undefined,undefined,undefined,8,undefined,http://www.sdarc.us/repeaters/bald.html,UVHFS,string,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,54.1,SW,string,449.1,444.1,107.2,107.2,Grand,On-Air,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",undefined,8,undefined,undefined,RACES Wed. 1930 hours,GMRA Repeaters,UVHFS,string,Grand Mesa Repeater Association (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,55.6,E,string,146.76,146.16,107.2,undefined,Garfield,Off-Air,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",undefined,undefined,undefined,undefined,undefined,undefined,undefined,243117,undefined,undefined,undefined,DM69cl,undefined
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,string,59.8,SW,string,146.9,146.3,88.5,undefined,Grand,On-Air,Moab and immediate surroundings.,undefined,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",undefined,undefined,undefined,http://sdarc.us/repeaters/moab.html,UVHFS,string,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,string,64.3,SE,string,147.33,147.93,107.2,undefined,Delta,On-Air,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,North Fork Repeater Assoc.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,string,65.7,SE,string,146.79,146.19,107.2,107.2,Montrose,On-Air,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,KC0UXX,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,string,65.7,SE,string,146.91,146.31,107.2,107.2,Montrose,On-Air,undefined,undefined,E-Power,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,74,NNW,string,449.9,444.9,136.5,undefined,Uintah,undefined,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",undefined,undefined,7705,undefined,undefined,undefined,undefined,string,Borderline Amateur Radio Club,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,74.5,E,string,449.6,444.6,107.2,undefined,Garfield,On-Air,Wide area.,undefined,e-power Linked to GMRA open system,undefined,undefined,undefined,http://www.gmra.org,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,74.5,E,string,146.85,146.25,88.5,123,Garfield,On-Air,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",undefined,70,undefined,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,undefined,CCARC,string,Colorado Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,74.5,E,string,447.1,442.1,107.2,undefined,Garfield,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,Ski Country ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,74.5,E,string,146.88,146.28,107.2,undefined,Garfield,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,Ski Country ARC,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,string,77.4,E,string,147.39,147.99,107.2,undefined,Garfield,On-Air,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,77.4,E,string,449.725,444.725,179.9,undefined,Garfield,On-Air,Wide area.,undefined,EchoLink.,3722,undefined,undefined,undefined,CCARC,string,Roaring Fork Amateur Repeater Cooperative (RFARC),undefined,undefined,undefined,undefined,undefined,undefined,28434,undefined,undefined,undefined,undefined,undefined,undefined
448.65,-5,string,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,string,77.9,SE,string,448.65,443.65,string,151.4,Montrose,On-Air,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,KB0YNA,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,77.9,SE,string,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,Grand Mesa Repeater Assoc,9,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,CCARC,string,undefined,Full-time to the  GMRA Open System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.6,-5,string,KI0G,Glenwood Springs,CO,CLOSED,string,79.7,E,string,447.6,442.6,string,undefined,Garfield,undefined,40,undefined,50,undefined,Link Hub for 146.880.,undefined,undefined,CCARC,string,Ski Country ARC (SCARC),"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.02,-1.6,string,KI0G,Glenwood Springs,CO,CLOSED,string,79.7,E,string,224.02,222.42,string,undefined,Garfield,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,SCARC,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,string,79.7,E,string,449.85,444.85,131.8,131.8,Garfield,On-Air,Glenwood Springs,Grand Mesa Repeater Assoc,e-power  Linked to GMRA Open System,undefined,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,http://GMRA.org,CCARC,string,undefined,Full-time to the  GMRA Open System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,79.8,E,string,147.3,147.9,107.2,undefined,Garfield,Off-Air,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",undefined,8,undefined,Single beep courtesy tone when linked and none when unlinked.,undefined,undefined,CCARC,string,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,266359,undefined,undefined,undefined,undefined,undefined
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,85.6,NNW,string,146.92,146.32,136.5,undefined,Duchesne,Off-Air,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",undefined,E-power.,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,458695,undefined,undefined,undefined,undefined,undefined
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,85.7,NNW,string,147.1,147.7,136.5,undefined,Uintah,On-Air,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",undefined,"Autopatch, e-power.",3577,8,undefined,undefined,UVHFS,string,""">Borderline ARC","Full-time to  
        147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .","IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",undefined,undefined,undefined,undefined,undefined,458414,undefined,undefined,undefined,undefined,undefined
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,string,85.7,NNW,string,449.7,444.7,136.5,undefined,Uintah,undefined,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",undefined,8,undefined,undefined,undefined,undefined,UVHFS,string,W7BYU,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,89.2,E,string,447.15,442.15,136.5,undefined,Garfield,On-Air,undefined,undefined,undefined,undefined,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,8150,undefined,undefined,undefined,undefined,undefined
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,90.5,SSE,string,449.7,444.7,107.2,107.2,San Miguel,On-Air,Wide Area via links - Western Colorado - Eastern Utah,undefined,E-power.,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,undefined,CCARC,string,Grand Mesa Repeater Association ( GMRA ),Full-time to the  GMRA Open System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.05,-5,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,92.3,WNW,string,449.05,444.05,88.5,undefined,Carbon,On-Air,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10.",undefined,Remote base.,3270,undefined,undefined,http://sdarc.us/repeaters/bruin.html,UVHFS,string,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,string
147.32,0.6,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,92.3,WNW,string,147.32,147.92,88.5,undefined,Carbon,On-Air,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10. 50 mi radius.",undefined,Remote base.,3270,110,undefined,http://sdarc.us/repeaters/bruin.html,UVHFS,string,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,DM49tp,string
145.175,-0.6,string,WX7Y,"Sunny Side, Bruin Peak",UT,OPEN,string,92.7,WNW,string,145.175,144.575,string,undefined,Carbon,On-Air,Eastern Utah,Sinbad Desert A.R.C.,undefined,undefined,undefined,undefined,undefined,undefined,string,SDARC,undefined,United States,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,string,96,ESE,string,146.67,146.07,107.2,undefined,Pitkin,On-Air,Wide area.,undefined,Linked.,undefined,undefined,undefined,undefined,CCARC,string,Ski Country ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,string,97.1,SE,string,147.27,147.87,127.3,undefined,Ouray,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
223.94,-1.6,string,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,string,99.4,SSW,string,223.94,222.34,string,undefined,San Juan,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",undefined,11,undefined,undefined,undefined,undefined,UVHFS,string,Grand Mesa Rptr Assoc,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,string,99.4,SSW,string,447.1,442.1,107.2,107.2,San Juan,On-Air,Wide area.,undefined,E-power.,undefined,11,undefined,http://gmra.org,UVHFS,string,Grand Mesa Repeater Association (GMRA),Full-time to the  GMRA Open System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,99.4,SSW,string,146.61,146.01,88.5,undefined,San Juan,On-Air,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",undefined,Remote base.,3270,11.36,undefined,http://www.sdarc.us/repeaters/abajo.html,UVHFS,string,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined
447.4,-5,string,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,string,99.4,SSW,string,447.4,442.4,string,undefined,San Juan,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Cactus-Intertie,11,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.075,-5,string,K7YI,"Price, Cedar Mountain",UT,OPEN,string,100.5,W,string,448.075,443.075,undefined,undefined,Carbon,Off-Air,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,Sinbad Desert Amateur Radio Club,undefined,undefined,string,K7YI (B),"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.125,-5,100,K7YI,"Castle Dale, Cedar Mountain",UT,CLOSED,string,101.2,W,string,447.125,442.125,100,undefined,Emery,undefined,"Wide area: This covers (approximately) from Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",Cactus-Intertie,7,undefined,undefined,undefined,undefined,UVHFS,string,San Rafael Cactus Assoc,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.55,-5,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,I,101.2,W,string,448.55,443.55,88.5,undefined,Emery,On-Air,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",undefined,Remote base.,3280,Stand alone.,undefined,undefined,UVHFS,string,N7QLO,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.14,0.6,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,EI,101.3,W,string,147.14,147.74,88.5,undefined,Emery,On-Air,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",undefined,"Closed autopatch, remote base.",3270,7,undefined,http://sdarc.us/repeaters/cedar.html,UVHFS,string,Sinbad Desert ARC,Full-time to the  Sinbad Desert (SDARC) System .,undefined,undefined,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,string,101.8,ESE,string,447.05,442.05,136.5,136.5,Pitkin,On-Air,Aspen-Snowmass areas.,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.49,-0.6,136.5,W7BYU,"Myton, Flat Top",UT,OPEN,string,103.6,NW,string,145.49,144.89,136.5,undefined,Duchesne,On-Air,"Duchesne, UT area.",Sinbad Desert ARC (SDARC),E-power.,undefined,5,undefined,http://sdarc.us/repeaters/flat-top.html,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,string,K5GF,Gunnison,CO,OPEN,string,105.9,SE,string,449.95,444.95,string,undefined,Gunnison,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,K5GF,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.12,0.6,string,W0VTL,Gunnison,CO,OPEN,string,105.9,SE,string,147.12,147.72,string,undefined,Gunnison,On-Air,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,W0VTL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
