Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,EchoLink,AllStar,Nets,Coordination,Last update,Sponsor,Web links,Notes,YSF Digital Enabled,DG-ID,Mixed-Mode,Affiliate,D-STAR Enabled,Node,Sources,IRLP,Commands,Links,WIRES-X,DMR Enabled,Color Code,Wide Network,Grid,Feed,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Talkgroups,Southern Colorado,Denver Regional,Colorado,Northern Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Location Photo
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,string,8.9,NNE,string,146.715,146.115,123,123,Denver,On-Air,undefined,E-power.,undefined,undefined,undefined,CCARC,string,EARS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,string,8.9,NNE,string,145.475,144.875,100,undefined,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",E-power.,undefined,undefined,undefined,CCARC,string,Intermountain Repeater Group,Intermountain Repeater Group,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,string,8.9,NNE,string,448.55,443.55,82.5,undefined,Denver,Off-Air,undefined,E-power.,undefined,undefined,undefined,CCARC,string,HPRA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,string,9.3,NW,string,447.825,442.825,D073,D073,Jefferson,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,Denver Radio Club,undefined,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,string,9.6,SW,string,146.88,146.28,100,undefined,Jefferson,On-Air,Wide area: Denver.  Map,E-power.,undefined,undefined,undefined,CCARC,string,Denver Radio League,DRL Repeaters,6,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,9.6,SW,string,449.6,444.6,100,undefined,Jefferson,On-Air,undefined,undefined,690473,undefined,undefined,CCARC,string,Denver Radio League,DRL Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3345,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,9.9,N,string,447.175,442.175,100,100,Denver,On-Air,undefined,undefined,201712,29997,undefined,CCARC,string,W0JRL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Standard AllStar Link access commands.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,string,10.5,NW,string,53.09,51.39,107.2,undefined,Jefferson,On-Air,Metro Denver area.,E-power.,undefined,undefined,undefined,CCARC,string,Denver Radio Club,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,string,11,NNW,string,147.21,147.81,100,100,Jefferson,On-Air,undefined,undefined,undefined,undefined,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,undefined,string,Denver Water Amateur Radio Club,undefined,undefined,string,23,Yes; analog capable.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,11.5,WNW,string,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",undefined,undefined,29913,undefined,CCARC,string,N6LXX,undefined,undefined,undefined,undefined,undefined,N6LXX,undefined,undefined,undefined,undefined,undefined,Full-time to the  N6LXX System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,11.5,WNW,string,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",undefined,undefined,29883,undefined,CCARC,string,N6LXX,undefined,undefined,undefined,undefined,undefined,N6LXX,undefined,undefined,undefined,undefined,undefined,Full-time to the  N6LXX System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,string,11.7,SSE,string,449.95,444.95,77,77,Douglas,On-Air,Primarily to the North along I-25 corridor,undefined,undefined,undefined,undefined,CCARC,string,W9SL Owner,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,string,12.4,E,string,449.15,444.15,undefined,undefined,Arapahoe,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,Colorado Amateur Repeater Network (CARN),undefined,undefined,undefined,undefined,undefined,undefined,string,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,12.5,SE,string,448.7,443.7,146.2,undefined,Douglas,On-Air,Local North Parker only,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3415,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,string,12.7,NE,string,448.4,443.4,94.8,undefined,Arapahoe,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,string,12.7,NE,string,448.5,443.5,100,undefined,Denver,On-Air,Greater Denver area.,E-power.,undefined,undefined,undefined,CCARC,string,Castle Rock Repeater Group,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,string,12.7,SE,string,447.525,442.525,203.5,146.2,Douglas,On-Air,"Denver metropolitan area, front range foothills",undefined,undefined,undefined,undefined,CCARC,string,EmComm Colorado,undefined,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",undefined,undefined,undefined,Colorado ARES,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.825,-5,string,WN7ANT,Aurora,CO,OPEN,W,12.7,NE,string,448.825,443.825,undefined,undefined,Arapahoe,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,string,Open ↑ / Open ↓,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,30584,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,string,12.7,NE,string,448.275,443.275,156.7,undefined,Arapahoe,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,W0BG,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,string,13.8,SW,string,447.5,442.5,88.5,88.5,Jefferson,On-Air,Wide area.,E-power.,undefined,undefined,undefined,CCARC,string,Aurora Repeater Association,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,13.8,ESE,string,145.19,144.59,151.4,131.8,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",Autopatch (please contact trustee).,10079,undefined,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",undefined,string,N0OBA,undefined,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,string,14,NW,string,446.8375,441.8375,string,undefined,Jefferson,On-Air,undefined,200,undefined,undefined,undefined,CCARC,string,WA2YZT,undefined,See website for more info on CC/TS/TG programming.  www.rmham.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  Colorado TRBO System .,undefined,string,7,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
