Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Links,Coordination,Last update,Affiliate,Web links,Notes,EchoLink,Downlink Tone,Mixed-Mode,D-STAR Enabled,Node,Sources,Nets,AllStar,IRLP,Grid,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Commands,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,On-air,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,English,Europe,TAC 310,DCI Bridge,Southwest USA,WIRES-X
147.34,0.6,67,NM5ML,"Tijeras, Cedro Peak",NM,OPEN,,141.8,S,yes,147.34,147.94,67,Bernalillo,On-Air,Wide area,,7,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,NM5ML,"Conchas Dam, Mesa Rica",NM,OPEN,,162.7,SE,yes,147.36,147.96,100,San Miguel,On-Air,Wide area.,,5,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.66,-0.6,100,NM5ML,"Grants, Microwave Ridge",NM,OPEN,,168.6,SW,yes,146.66,146.06,100,Cibola,On-Air,Wide area.,Mega-Link Rptr System,9,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,67,NM5ML,"Grants, La Mosca",NM,OPEN,,168.6,SW,yes,444.8,449.8,67,Cibola,On-Air,Wide area,Mega Link Repeater System,Full time to the New Mexico MegaLink system,Full-time to the  Mega-Link System .,NMFCC,yes,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,67,NM5ML,"Gallup, Deza Bluffs",NM,OPEN,,173.4,WSW,yes,147.22,147.82,67,McKinley,On-Air,Wide area.,New Mexico Mega Link Assoc,"Closed autopatch, e-power.",Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tucumcari, Tucumcari Mountain",NM,OPEN,,187.1,SE,yes,147.22,147.82,100,Quay,On-Air,Wide area.,Mega-Link Rptr System,4,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Corona, Gallinas Peak",NM,OPEN,,196.9,S,yes,147.28,147.88,100,Lincoln,On-Air,Wide area.,,8,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,100,NM5ML,"Datil, Davenport Lookout",NM,OPEN,,221,SSW,yes,147.04,147.64,100,Catron,On-Air,,New Mexico Mega Link Assoc,9,Full-time to the  Mega-Link System .,NMFCC,yes,,,RX Freq has shifted to 147.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,Melrose,NM,OPEN,,227.2,SE,yes,147.28,147.88,67,Curry,On-Air,Wide area.,Mega-Link,4,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.525,5,67,NM5ML,Clovis,NM,OPEN,,243.5,SE,yes,442.525,447.525,67,Curry,On-Air,,,,Full-time to the  Mega-Link System .,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,15.8,S,yes,146.76,146.16,67,Rio Arriba,On-Air,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,11,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,30.6,S,yes,146.76,146.16,67,Taos,On-Air,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,11,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,39.1,SE,yes,145.39,144.79,100,Taos,On-Air,Wide area.,Taos ARC,"E-power, linked.",,NMFCC,yes,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,45.3,SE,yes,145.25,144.65,123,Taos,On-Air,,Taos ARC,,,NMFCC,yes,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
